fecha,hora_declarada,modelo,total_abordo,pasajeros_a_bordo,tripulacion_a_bordo,total_fallecidos,pasajeros_fallecidos,tripulacion_fallecidos,resumen,pais,tipo_operador,tipo_modelo
1908-09-17,17:00,Wright Flyer III,2,1,1,1,1,0,demonstration flight us army flyer flown orville wright nosedived ground height approximately 75 feet killing lt thomas e selfridge 26 passenger first recorded airplane fatality history one two propellers separated flight tearing loose wires bracing rudder causing loss control aircraft orville wright suffered broken ribs pelvis leg selfridge suffered crushed skull died short time later,EE.UU,Militares,Avion
1909-09-07,00:00,Wright Byplane,1,0,1,1,0,0,eugene lefebvre first pilot ever killed air accident controls jambed flying air show,France,Comerciales,Avion
1912-07-12,06:00,Dirigible,5,0,5,5,0,5,first us dirigible akron exploded offshore altitude 1000 ft test flight,EE.UU,Militares,Avion
1913-08-06,00:00,Curtiss seaplane,1,0,1,1,0,1,first fatal airplane accident canada occurred american barnstormer john bryant california aviator killed,Canada,Privados,Avion
1913-10-17,10:00,Zeppelin L-2 (airship),28,0,0,28,0,0,hydrogen gas vented sucked forward engine ignited causing airship explode burn 3000 ftgerman navys zeppelin airships l4 l5 blown sea february 1915 never seen,Germany,Militares,Dirigible
1915-03-05,01:00,Zeppelin L-8 (airship),41,0,41,17,0,17,crashed trees attempting land shot british french aircraft,Belgium,Militares,Dirigible
1915-09-03,15:00,Zeppelin L-10 (airship),19,0,0,19,0,0,exploded burned near neuwerk island hydrogen gas vented ignited lightning,Germany,Militares,Dirigible
1916-09-24,01:00,Zeppelin L-32 (airship),22,0,0,22,0,0,shot british aircraft crashing flames,England,Militares,Dirigible
1916-10-01,23:00,Zeppelin L-31 (airship),19,0,19,19,0,19,shot flames british 39th home defence squadron,England,Militares,Dirigible
1916-11-21,00:00,Super Zeppelin (airship),28,0,0,27,0,0,crashed storm,Germany,Militares,Dirigible
1916-11-28,23:00,Zeppelin L-34 (airship),20,0,0,20,0,0,shot british antiaircraft fire aircraft crashed north sea,England,Militares,Dirigible
1917-03-04,00:00,Airship,20,0,0,20,0,0,caught fire crashed,Belgium,Militares,Dirigible
1917-03-30,00:00,Schutte-Lanz S-L-9 (airship),23,0,0,23,0,0,struck lightning crashed baltic sea,Germany,Militares,Dirigible
1917-06-17,00:00,Zepplin L-48 (air ship),16,0,0,14,0,0,shot aircraft,England,Comerciales,Avion
1917-08-21,07:00,Zeppelin L-23 (airship),18,0,0,18,0,0,shot british aircraft,Denmark,Militares,Dirigible
1917-10-20,07:00,Zeppelin L-44 (airship),18,0,0,18,0,0,shot french antiaircraft fire,France,Militares,Dirigible
1918-08-05,00:00,Zeppelin L-70 (airship),22,0,0,22,0,0,shot british aircraft crashing height 17000 ft,Germany,Militares,Dirigible
1918-12-16,00:00,De Havilland DH-4,1,0,1,1,0,1,carl smith killed mail plane feet 500 feet attempting land tried reposition aircraft wind shifted lost control plane dived ground,EE.UU,Comerciales,Avion
1919-05-25,00:00,De Havilland DH-4,1,0,1,1,0,1,caught fire midair pilot leaped plane death plane began go dive,EE.UU,Comerciales,Avion
1919-07-19,00:00,De Havilland DH-4,1,0,1,1,0,1,mail plane crashed unknown circumstances,EE.UU,Comerciales,Avion
1919-07-21,16:00,FD Type Dirigible,0,0,0,3,2,1,dirigible cruising 1200 ft caught fire crashed illinois trust savings building chicago transporting people grant park white city amusement park1 one crew member two passengers ten bank employees killed,EE.UU,Comerciales,Avion
1919-08-02,00:00,Caproni Ca.48,14,12,2,14,12,2,plane passing verona wings began flutter collapsed crashed sources differ number deaths reporting 15 17,Italy,Comerciales,Avion
1919-10-02,00:00,De Havilland DH-4,1,0,1,1,0,1,nan,England,Comerciales,Avion
1919-10-14,00:00,Curtiss R-4LM,1,0,1,1,0,1,pilot performing mail flight baltimore final approach fog aircraft hit tree tops crashed woods,EE.UU,Comerciales,Avion
1919-10-30,00:00,De Havilland DH.4,1,0,1,1,0,1,mail flight new york pilot encountered bad weather conditions reduced altitude maintain visual contact ground eventually decided make emergency landing long valley west newark aircraft hit ground crashed,EE.UU,Comerciales,Avion
1920-03-10,00:00,De Havilland DH-4,1,0,1,1,0,1,mail flight aircraft hit trees fog crashed wooded area,EE.UU,Comerciales,Avion
1920-03-30,00:00,De Havilland DH-4,1,0,1,1,0,1,george sherlock killed mail plane crashed chimney attempting land heller field poor visibility,EE.UU,Comerciales,Avion
1920-04-10,00:00,Curtiss R-4LM,2,1,1,1,0,1,fire erupted flight pilot decided make emergency landing aircraft crashed,EE.UU,Comerciales,Avion
1920-04-11,00:00,Curtiss JN-4H,2,1,1,1,0,1,aircraft crashed approach unknown reasons,EE.UU,Comerciales,Avion
1920-05-12,00:00,De Havilland DH-4,2,1,1,1,1,0,worsening weather conditions pilot lost sense orientation crashed field,EE.UU,Comerciales,Avion
1920-06-06,00:00,De Havilland DH-4,1,0,1,1,0,1,aircraft suffered engine failure crashed shortly taking,EE.UU,Comerciales,Avion
1920-08-16,00:00,Armstrong-Whitworth F-K-8,1,0,1,1,0,1,plane crashed cargo flight unknown circumstances,England,Comerciales,Avion
1920-08-16,00:00,De Havilland DH-4,1,0,1,1,0,1,approaching poor visibility land plane hit radio mast crashed flames,EE.UU,Comerciales,Avion
1920-09-01,00:00,Junkers JL-6,2,0,2,2,0,2,en route mail plane went control crashed experiencing flight fire,EE.UU,Comerciales,Avion
1920-09-15,00:00,Junkers F-13,2,0,0,2,0,0,pilot crashed attempting make emergency landing engine caught fire,EE.UU,Comerciales,Avion
1920-09-27,00:00,De Havilland DH-4,1,0,1,1,0,1,plane struck power lines crashed flames flying low altitude poor visibility,EE.UU,Comerciales,Avion
1920-10-02,00:00,Salmson 2-A-2,2,1,1,2,1,1,crashed mediterranean mail flight,France,Comerciales,Avion
1920-10-05,00:00,Breguet 14,2,1,1,2,1,1,mail flight plane crashed attempting land,Spain,Comerciales,Avion
1920-10-15,00:00,De Havilland DH-4,1,0,1,1,0,1,attempting land fog aircraft hit obstruction crashed,EE.UU,Comerciales,Avion
1920-11-07,00:00,De Havilland DH-4,1,0,1,1,0,1,aircraft crashed mountain poor weather condtions,EE.UU,Comerciales,Avion
1920-12-14,12:00,Handley Page HP-16,8,6,2,4,2,2,plane failed gain altitude taking criclklewood crashed tree house pilot error taking towards hill unfavorable wind conditions fogthe first commercial air disaster result passenger fatalities regularly scheduled service,England,Comerciales,Avion
1920-12-24,00:00,Breguet 14,1,0,1,1,0,1,aircraft stalled crashed engine failed,Spain,Comerciales,Avion
1921-02-09,00:00,Junkers F-13,3,0,3,3,0,3,crashed unknown reasons pilots mechanic killed,EE.UU,Comerciales,Avion
1921-02-22,00:00,De Havilland DH-4,1,0,1,1,0,1,shortly taking aircraft stalled crashed,EE.UU,Comerciales,Avion
1921-04-06,00:00,Avro 504,2,0,0,2,0,0,shortly taking training flight aircraft dove ground exploded flames,Australia,Militares,Avion
1921-04-29,00:00,De Havilland DH-4,1,0,1,1,0,1,aircraft crashed field short runway minutes scheduled arrival cleveland weather poor fog,EE.UU,Comerciales,Avion
1921-05-17,00:00,"De Havilland DH-4De Havilland DH-4",1,0,1,1,0,1,crashed attempting land,EE.UU,Comerciales,Avion
1921-08-14,00:00,Breguet 14,2,0,0,2,0,0,nan,France,Comerciales,Avion
1921-08-24,17:00,Royal Airship Works ZR-2 (airship),49,0,49,43,0,43,crashed due structural failure followed two explosions fire attributed faulty design test flight handed navy thirtytwo british 17 americans board survivors 5 british 1 american fatalities included designer charles campbell copied captured german design intended highaltitude flight therefore skeleton bit weaker pilot overstressed attempting turn 62 mph low altitude,England,Comerciales,Dirigible
1921-09-06,00:00,Potez IX,5,4,1,5,4,1,crashed making approach le bourget airport paris pilot aborted landing due another aircraft runway,France,Comerciales,Avion
1921-12-05,00:00,Bristol 28 Tourer,2,0,2,2,0,2,approach geraldton plane crashed near murchinson river considered first commercial flight australila,Australia,Comerciales,Avion
1922-01-14,00:00,Handley Page O/10,5,4,1,5,4,1,crashed le bourget field,France,Comerciales,Avion
1922-02-21,00:00,Dirigible Roma (airship),45,0,0,34,0,0,crashed height 500 ft experiencing control problems cause malfunctioning controls,EE.UU,Militares,Dirigible
1922-04-07,13:00,de Havilland DH-18 / Farman F-60 Goliath,7,5,2,7,5,2,midair collision occurred 400 ft poor visibility approximately 18 miles north beauvais france pilots planes using road route marker bad weather poor visibility first commercial midair collision aviation history two killed de havilland five faman f60,France,Comerciales,Avion
1922-04-08,00:00,SinDato,17,0,17,17,0,17,aboard workers taking part flight test seventeen aboard chinese nationals,China,Comerciales,Avion
1922-06-03,00:00,Bleriot Spad 27,3,2,1,3,2,1,went english channel en route,England,Comerciales,Avion
1922-07-04,00:00,LVG C VI,3,2,1,2,1,1,passengermail plane lost engine taking crashed trees actress fern andra survived accident director georg bluen pilot lothar von richthofen also killed world war ace brother manfred von richthofen red baron,Germany,Comerciales,Avion
1922-07-16,16:00,Potez 29,5,4,1,5,4,1,lost engine could make emergency landing gusty winds stalled making turn crashed,France,Comerciales,Avion
1922-07-26,00:00,Breguet 14,3,2,1,3,2,1,attempting make emergency landing due engine problems aircraft hit telephone lines crashed,Spain,Comerciales,Avion
1922-09-07,00:00,De Havilland DH-4,1,0,1,1,0,1,plane stalled shortly takeoff crashed,EE.UU,Comerciales,Avion
1922-10-02,00:00,de Havilland DH-9,4,3,1,4,3,1,shortly taking plane crashed sea sank,Italy,Comerciales,Avion
1922-10-25,00:00,Breguet 14,2,1,1,2,1,1,crashed unknown circumstances,Morocco,Comerciales,Avion
